,Puntaje_Credito_encoded
Puntaje_Credito_encoded,1.0
Num_Pagos_Retrasados,0.2031160593887267
Cambio_Limite_Credito,0.19008021180733697
Num_Cuentas_Bancarias,0.17738949153068698
Tasa_Interes,0.12108822371476574
Num_Tarjetas_Credito,0.1133327597647199
Retraso_Pago,0.09728597365121366
Num_Prestamos,0.06406383791286034
Deuda_Pendiente,0.03715290308645964
Ratio_Utilizacion_Credito,-0.01437064504653723
Saldo_Mensual,-0.04737983546723077
Edad,-0.058922746312645984
Total_Cuota_Mensual,-0.059340604484849825
Inversion_Mensual,-0.06876967811910253
Salario_Mensual,-0.07876968202898904
Ingreso_Anual,-0.08069983504778347
Edad_Historial_Credito,-0.10259753677361491
